# Logfile created on 2017-02-06 13:39:59 +0100 by logger.rb/56438
I, [2017-02-06T15:18:19.398591 #24111]  INFO -- : (0.000176s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:59:08.221786 #25665]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:59:08.221994 #25665]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:59:08.222964 #25665]  INFO -- : (0.000350s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T15:59:08.224148 #25665]  INFO -- : (0.000026s) PRAGMA table_info('coding_activity_teacher_skillst_polls')
E, [2017-02-06T15:59:08.224346 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
E, [2017-02-06T15:59:08.224718 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
I, [2017-02-06T15:59:08.225086 #25665]  INFO -- : (0.000027s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T15:59:08.225218 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T15:59:08.225477 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T15:59:08.225826 #25665]  INFO -- : (0.000024s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T15:59:08.225952 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T15:59:08.226213 #25665] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T15:59:08.226655 #25665]  INFO -- : (0.000145s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T15:59:09.988480 #25665]  INFO -- : (0.000157s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:00:01.997152 #25665]  INFO -- : (0.000259s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:00:01.997252 #25665]  INFO -- : (0.000028s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:00:01.997442 #25665]  INFO -- : (0.000140s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:01:11.287794 #25722]  INFO -- : (0.000355s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:01:11.287907 #25722]  INFO -- : (0.000022s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:01:11.288047 #25722]  INFO -- : (0.000085s) SELECT sqlite_version()
I, [2017-02-06T16:01:11.288462 #25722]  INFO -- : (0.000043s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:01:11.288765 #25722]  INFO -- : (0.000037s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:01:11.289092 #25722]  INFO -- : (0.000036s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:01:11.355167 #25722]  INFO -- : (0.065784s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:01:11.355926 #25722]  INFO -- : (0.000118s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:01:11.358188 #25722]  INFO -- : (0.000768s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:01:11.361130 #25722]  INFO -- : (0.000104s) PRAGMA table_info('coding_activity_teacher_skillst_polls')
E, [2017-02-06T16:01:11.361690 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
E, [2017-02-06T16:01:11.362429 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
I, [2017-02-06T16:01:11.363254 #25722]  INFO -- : (0.000059s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T16:01:11.363519 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T16:01:11.364224 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T16:01:11.365124 #25722]  INFO -- : (0.000062s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:01:11.365447 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:01:11.366156 #25722] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:01:11.367365 #25722]  INFO -- : (0.000361s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:01:12.663592 #25722]  INFO -- : (0.000199s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:02:31.764255 #25722]  INFO -- : (0.000234s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:02:31.764369 #25722]  INFO -- : (0.000026s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:02:31.764603 #25722]  INFO -- : (0.000166s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:07:54.517778 #25818]  INFO -- : (0.000320s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:07:54.517874 #25818]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:07:54.518000 #25818]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T16:07:54.518371 #25818]  INFO -- : (0.000047s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:07:54.518634 #25818]  INFO -- : (0.000038s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:07:54.519141 #25818]  INFO -- : (0.000037s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:07:54.519391 #25818]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:07:54.519617 #25818]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:07:54.520559 #25818]  INFO -- : (0.000307s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:07:54.521642 #25818]  INFO -- : (0.000024s) PRAGMA table_info('coding_activity_teacher_skillst_polls')
E, [2017-02-06T16:07:54.521821 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
E, [2017-02-06T16:07:54.522187 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
I, [2017-02-06T16:07:54.522619 #25818]  INFO -- : (0.000026s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T16:07:54.522771 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T16:07:54.523032 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T16:07:54.523361 #25818]  INFO -- : (0.000024s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:07:54.523480 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:07:54.523739 #25818] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:07:54.524158 #25818]  INFO -- : (0.000128s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:07:58.334639 #25818]  INFO -- : (0.000326s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:08:25.968061 #25835]  INFO -- : (0.000324s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:08:25.968161 #25835]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:08:25.968289 #25835]  INFO -- : (0.000078s) SELECT sqlite_version()
I, [2017-02-06T16:08:25.968673 #25835]  INFO -- : (0.000036s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:25.968932 #25835]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:25.969205 #25835]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:25.969462 #25835]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:25.969670 #25835]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:25.970576 #25835]  INFO -- : (0.000297s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:08:25.971694 #25835]  INFO -- : (0.000026s) PRAGMA table_info('coding_activity_teacher_skillst_polls')
E, [2017-02-06T16:08:25.971868 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
E, [2017-02-06T16:08:25.972194 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` LIMIT 1
I, [2017-02-06T16:08:25.972548 #25835]  INFO -- : (0.000024s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T16:08:25.972668 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T16:08:25.972911 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T16:08:25.973235 #25835]  INFO -- : (0.000023s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:08:25.973354 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:08:25.973606 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:08:25.974026 #25835]  INFO -- : (0.000127s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:08:27.006007 #25835]  INFO -- : (0.000193s) SELECT * FROM `coding_activity_context_polls`
E, [2017-02-06T16:08:27.006445 #25835] ERROR -- : SQLite3::SQLException: no such table: coding_activity_teacher_skillst_polls: SELECT * FROM `coding_activity_teacher_skillst_polls` WHERE (`coding_activity_teacher_skillst_polls`.`coding_activity_context_poll_id` = 1) LIMIT 1
I, [2017-02-06T16:08:54.357108 #25849]  INFO -- : (0.000320s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:08:54.357211 #25849]  INFO -- : (0.000019s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:08:54.357340 #25849]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T16:08:54.357701 #25849]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:54.357968 #25849]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:54.358259 #25849]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:54.358481 #25849]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:54.358691 #25849]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:08:54.359756 #25849]  INFO -- : (0.000353s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:08:54.361081 #25849]  INFO -- : (0.000180s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:08:54.361926 #25849]  INFO -- : (0.000028s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T16:08:54.362106 #25849] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T16:08:54.362439 #25849] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T16:08:54.362789 #25849]  INFO -- : (0.000025s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:08:54.362919 #25849] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:08:54.363185 #25849] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:08:54.363631 #25849]  INFO -- : (0.000136s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:08:55.648005 #25849]  INFO -- : (0.000203s) SELECT * FROM `coding_activity_context_polls`
E, [2017-02-06T16:08:55.648451 #25849] ERROR -- : SQLite3::SQLException: no such column: coding_activity_teacher_skills_polls.coding_activity_context_poll_id: SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`coding_activity_context_poll_id` = 1) LIMIT 1
I, [2017-02-06T16:13:44.254020 #25951]  INFO -- : (0.000208s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:13:44.254117 #25951]  INFO -- : (0.000017s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:13:44.254234 #25951]  INFO -- : (0.000071s) SELECT sqlite_version()
I, [2017-02-06T16:13:44.254590 #25951]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:13:44.254891 #25951]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:13:44.255157 #25951]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:13:44.255385 #25951]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:13:44.255590 #25951]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:13:44.256467 #25951]  INFO -- : (0.000285s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:13:44.257649 #25951]  INFO -- : (0.000151s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:13:44.258453 #25951]  INFO -- : (0.000023s) PRAGMA table_info('coding_activity_projectt_polls')
E, [2017-02-06T16:13:44.258620 #25951] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
E, [2017-02-06T16:13:44.259006 #25951] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` LIMIT 1
I, [2017-02-06T16:13:44.259331 #25951]  INFO -- : (0.000023s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:13:44.259452 #25951] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:13:44.259702 #25951] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:13:44.260111 #25951]  INFO -- : (0.000127s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:13:47.309022 #25951]  INFO -- : (0.000346s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:13:47.309955 #25951]  INFO -- : (0.000229s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
E, [2017-02-06T16:13:47.310507 #25951] ERROR -- : SQLite3::SQLException: no such table: coding_activity_projectt_polls: SELECT * FROM `coding_activity_projectt_polls` WHERE (`coding_activity_projectt_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:14:03.530814 #25965]  INFO -- : (0.000363s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:14:03.530916 #25965]  INFO -- : (0.000019s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:14:03.531041 #25965]  INFO -- : (0.000075s) SELECT sqlite_version()
I, [2017-02-06T16:14:03.531402 #25965]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_context_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:14:03.531694 #25965]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:14:03.531968 #25965]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_project_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:14:03.532194 #25965]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:14:03.532400 #25965]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:14:03.533326 #25965]  INFO -- : (0.000329s) PRAGMA table_info('coding_activity_context_polls')
I, [2017-02-06T16:14:03.534524 #25965]  INFO -- : (0.000161s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:14:03.535582 #25965]  INFO -- : (0.000188s) PRAGMA table_info('coding_activity_project_polls')
I, [2017-02-06T16:14:03.536420 #25965]  INFO -- : (0.000024s) PRAGMA table_info('coding_activity_ratings_polls')
E, [2017-02-06T16:14:03.536596 #25965] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
E, [2017-02-06T16:14:03.536912 #25965] ERROR -- : SQLite3::SQLException: no such table: coding_activity_ratings_polls: SELECT * FROM `coding_activity_ratings_polls` LIMIT 1
I, [2017-02-06T16:14:03.537380 #25965]  INFO -- : (0.000134s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:14:04.055508 #25965]  INFO -- : (0.000197s) SELECT * FROM `coding_activity_context_polls`
I, [2017-02-06T16:14:04.056054 #25965]  INFO -- : (0.000126s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:14:29.573833 #25980]  INFO -- : (0.000210s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:14:29.573930 #25980]  INFO -- : (0.000017s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:14:29.574049 #25980]  INFO -- : (0.000072s) SELECT sqlite_version()
